Active and enrolling CENTERSTONE sites as of February 2, 2021				
Site number	City	Zip Code	Zip Codes Within 30 miles	Targeting List
320035	JACKSON	38305	38305,38362,38355,38378,38303,38308,38302,38301,38314,38338,38343,38313,38348,38337,38336,38358,38391,38321,38366,38006,38352,38345,38356,38351,38382,38392,38220,38346,38340,38235,38258,38001,38316,38347,38021,38324,38390,38050,38331,38377,38388,38344,38381,38368,38330,38034,38334,38012,38332,38070,38230,38369	
324364	Smithfield	15478	15478,15451,15439,15436,15461,15460,15467,15474,15454,15484,15416,15458,15401,15476,15351,15338,15327,15315,15443,15445,15334,15410,15472,15435,15468,15437,15421,15440,26541,15449,15420,15320,15463,26505,15447,15475,26506,15489,15456,15422,15415,15480,15488,15465,26531,15325,15413,26502,26504,26507,26534,26543,26542,15357,15433,26508,15349,15442,15431,15344,15444,26525,26527,15429,15417,26546,15470,15450,15455,15348,26524,15486,15346,26501,15368,15322,26519,15419,15459,15430,15473,15438,26547,15333,15482,15466,26537,15477,26544,15483,15434,15358,15412,15423,26520,15425,15427,15428,15313,15464,15370,15432,15345,15492,26521,26588,15362,15631,26374,15448,15072,15411,26586,21531,15316,15331,15022,15683,15360,15062,26574,15324,15012,15485,15479,26560,26764,26570,15424,15359,15612,15469,15490,26410,15314,26554,15366,15679,15033,15087,15311,26590,15364,26559,26555,15688,15446,21541,15329,15695,15341,21520,15063,15089,15610,15353,15462,15551	
324789	EASLEY	29640	29640,29641,29617,29671,29611,29613,29642,29614,29601,29683,29657,29616,29602,29603,29604,29606,29608,29610,29612,29609,29661,29635,29673,29667,29605,29682,29636,29690,29607,29687,29685,29615,29630,28718,29697,29662,29650,29670,29688,29634,29669,29631,29651,29652,29633,29632,29665,29680,29656,28790,29676,29681,28772,29672,29677,28784,28712,29625,29365,29356,28739,29696,28766,29679,28747,29686,29334,29644,29375,29622,29623,28774,29377,29385,29368,29678,29621,28768,28726,29348,29691,29627,28773,29322,28731,29675,28729,28708	#N/A
324993	HOUSTON	77017	77587,77087,77061,77012,77501,77508,77502,77075,77506,77547,77023,77033,77504,77011,77029,77034,77048,77021,77503,77089,77003,77004,77020,77505,77051,77209,77010,77013,77002,77015,77202,77588,77201,77203,77204,77206,77207,77208,77210,77212,77213,77215,77216,77217,77219,77220,77221,77222,77223,77224,77225,77226,77227,77228,77229,77230,77231,77233,77234,77235,77236,77237,77238,77240,77241,77242,77243,77244,77245,77248,77249,77251,77252,77253,77254,77255,77256,77257,77258,77259,77261,77262,77263,77265,77266,77267,77268,77269,77270,77271,77272,77273,77274,77275,77277,77279,77280,77282,77284,77287,77288,77289,77290,77291,77292,77293,77297,77299,77052,77001,77536,77006,77030,77026,77054,77581,77047,77059,77005,77028,77009,77098,77025,77019,77062,77045,77584,77007,77046,77530,77598,77078,77549,77546,77507,77402,77016,77027,77022,77571,77008,77401,77049,77058,77093,77081,77096,77056,77035,77053,77018,77572,77076,77085,77057,77586,77050,77574,77573,77578,77024,77545,77071,77036,77074,77562,77489,77092,77044,77055,77091,77063,77039,77565,77037,77522,77031,77512,77088,77080,77396,77042,77497,77477,77523,77521,77060,77459,77072,77038,77099,77511,77032,77539,77411,77518,77043,77040,77532,77205,77079,77077,77086,77067,77325,77347,77583,77346,77496,77082,77338,77041,77478,77315,77487,77517,77073,77083,77520,77498,77479,77014,77066,77064,77481,77591,77090,77510,77084,77580,77339,77094,77218,77068,77069,77413,77345,77065,77568,77373,77407,77070,77095,77450,77336,77365,77388,77387,77383,77469,77379,77592,77577	
325047	Rapid City	57702	57702,57751,57709,57718,57701,57703,57769,57759,57706,57745,57744,57732,57719,57738,57730,57741,57773,57725,57754	
325048	PHOENIX	85032	85032,85022,85254,85028,85050,85020,85024,85023,85054,85253,85029,85027,85260,85021,85053,85016,85258,85014,85051,85018,85012,85013,85250,85015,85306,85252,85261,85267,85269,85271,85304,85251,85017,85085,85308,85302,85266,85083,85019,85008,85006,85310,85259,85255,85311,85312,85318,85301,85257,85065,85026,85004,85385,85001,85002,85010,85011,85030,85036,85038,85046,85060,85061,85062,85063,85064,85066,85067,85068,85069,85071,85072,85073,85074,85075,85076,85078,85079,85080,85082,85070,85003,85031,85381,85007,85034,85005,85380,85281,85382,85303,85009,85377,85327,85287,85033,85345,85040,85035,85268,85201,85256,85372,85376,85280,85285,85331,85305,85203,85351,85282,85043,85086,85363,85211,85214,85216,85274,85275,85277,85042,85041,85202,85213,85383,85037,85283,85335,85307,85210,85044,85039,85392,85204,85378,85284,85048,85263,85353,85375,85205,85374,85329,85215,85087,85379,85224,85233,85339,85309,85299,85206,85246,85045,85225,85373,85234,85244,85355,85340,85207,85296,85395,85388,85226,85323,85208,85286,85236,85295,85387,85262,85209,85297,85248,85338,85212,85120,85117,85178	
325188	Evansville	47714	47722,47713,47715,47747,47724,47719,47716,47706,47705,47704,47703,47721,47701,47728,47750,47737,47736,47702,47735,47734,47733,47732,47740,47731,47730,47708,42402,47711,47629,47710,42458,47712,42451,42419,42420,47630,47720,47725,47610,47618,42406,47639,47617,42457,47601,47638,42334,42452,47634,47613,42301,47647,47612,47620,47619,42461,42356,42377,47633,47635,47648,42462,42444,47654,42322,42304,47631,47637,47683,42455,42302,47584,47616,47537,42327,47649,47660,47670,42437,42303,47665,42355,62861,42456	
325201	Lake Worth	33467	33467,33463,33449,33472,33414,33413,33461,33415,33437,33436,33473,33462,33406,33460,33464,33465,33466,33426,33454,33411,33424,33425,33474,33435,33405,33417,33446,33484,33409,33480,33421,33422,33445,33401,33482,33402,33416,33448,33444,33483,33407,33496,33487,33498,33419,33420,33434,33404,33431,33403,33488,33412,33433,33428,33481,33497,33499,33427,33429,33486,33418,33432,33410,33408,33443,33442,33441,33470,33073,33067,33076,33072,33064,33074,33065,33477,33075,33066,33458,33063,33468,33062,33069,33061,33077,33071,33478,33060,33093,33097,33068,33321,33469,33309,33334,33359,33308,33319,33351,33306	
325358	Birmingham	35209	35209,35229,35205,35233,35211,35216,35238,35203,35201,35202,35219,35220,35231,35232,35236,35237,35246,35249,35253,35255,35259,35260,35261,35266,35282,35283,35285,35287,35288,35290,35291,35292,35293,35294,35295,35296,35297,35298,35243,35254,35204,35222,35223,35208,35213,35226,35234,35221,35142,35218,35228,35212,35064,35207,35244,35242,35224,35206,35061,35020,35214,35210,35021,35127,35060,35068,35217,35124,35181,35015,35022,35119,35043,35036,35094,35117,35005,35215,35235,35118,35144,35147,35080,35023,35073,35007,35071,35137,35114,35185,35176,35116,35173,35139,35051,35048,35004,35126,35111,35123,35091,35186,35062,35078,35130,35038,35178,35112,35006,35180,35148,35052,35074,35040,35115,35440,35128,35187,35063,35550,35120,35444,35172,35133,35054,35044,35560,35188,35035,35584,35490,35468	https://achievements.atlassian.net/browse/DSP-566
325417	MISHAWAKA	46544	46544,46546,46561,46545,46615,46595,46613,46617,46601,46573,46614,46660,46634,46680,46699,46624,46626,46635,46530,46517,46556,46616,46637,46515,46516,46536,46506,46514,46619,46628,46537,46550,46526,49112,46554,46527,49120,46507,46553,46528,49130,46552,46574,46572,46563,46542,49031,46365,49107,46504,46540,46524,49113,49095,46513,49102,46371,49061,46543,49103,49047,46567,46538,49104,46502,49099,46531,49119,46501,49128,46570,46582,49111,46532,49101,49042,46565,49125,46345	
